AFG Afghanistan
AIR Aboard aircraft
ALB Albania
ALG Algeria
AND Andorra
ANG Angola
ANT Antigua
ARG Argentina
ARM Armenia
ATA Antarctica
AUS Australia
AZB Azerbaijan
BAN Bangladesh
BAR Bahrain
BHM Bahamas
BEL Belgium
BER Bermuda
BIH Bosnia and Herzegovina
BLA Belarus
BLG Bulgaria
BLZ Belize
BOL Bolivia
BRB Barbados
BRS Brazil
BRU Brunei
BSW Botswana
CAN Canada
CHI Chile
COL Columbia
CRA Costa Rica
CRO Croatia
CSR Czechoslovakia
CUB Cuba
CYP Cyprus
DEN Denmark
DOM Dominican Republic
ECU Ecuador
EGY Egypt
ENG England
ESP Spain
EST Estonia
FAI Faroe Islands
FIJ Fiji
FIN Finland
FRA France
GAM Gambia
GCI Guernsey-Jersey
GEO Georgia
GER Germany
GHA Ghana
GRC Greece
GUA Guatemala
GUY Guyana
HAI Haiti
HKG Hong Kong
HON Honduras
HUN Hungary
IND India
IRL Ireland
IRN Iran
IRQ Iraq
ISD Iceland
ISR Israel
ITA Italy
IVO Ivory Coast
JAM Jamaica
JAP Japan
JRD Jordan
JUG Yugoslavia
KAZ Kazakhstan
KEN Kenya
KIR Kyrgyzstan
KUW Kuwait
LAT Latvia
LEB Lebanon
LIB Libya
LIC Liechtenstein
LTU Lithuania
LUX Luxembourg
MAL Malaysia
MAU Mauritania
MEX Mexico
MLI Mali
MLT Malta
MNC Monaco
MOL Moldova
MON Mongolia
MOZ Mozambique
MRC Morocco
MRT Mauritius
MYN Myanmar
NCG Nicaragua
NET The Internet
NIG Nigeria
NLA Netherlands Antilles
NLD Netherlands
NOR Norway
NZD New Zealand
OST Austria
PAK Pakistan
PAL Palestine
PAN Panama
PAR Paraguay
PER Peru
PHI Philippines
PNG Papua New Guinea
POL Poland
POR Portugal
PRC People's Republic of China
PRO Puerto Rico
QTR Qatar
RIN Indonesia
ROM Romania
RUS Russia
SAF South Africa
SAL El Salvador
SCO Scotland
SEA At Sea
SEN Senegal
SEY Seychelles
SIP Singapore
SLV Slovenia
SMA San Marino
SPC Aboard spacecraft
SRI Sri Lanka
SUD Sudan
SUR Surinam
SVE Sweden
SWZ Switzerland
SYR Syria
TAI Thailand
TMT Turkmenistan
TRK Turkey
TTO Trinidad and Tobago
TUN Tunisia
UAE United Arab Emirates
UGA Uganda
UKR Ukraine
UNK Unknown
URU Uruguay
USA United States of America
UZB Uzbekistan
VEN Venezuela
VGB British Virgin Islands
VIE Vietnam
VUS U.S. Virgin Islands
WLS Wales
YEM Yemen
YUG Yugoslavia
ZAM Zambia
ZIM Zimbabwe
ZRE Zaire
